id,project_id,resource_id,submitted_by,rating,feedback_text,created_at
f1,p1,r24,c2,2,Missed several deadlines.,2023-11-13
f2,p1,r9,c2,2,Communication issues affected delivery.,2023-11-12
f3,p1,r10,c2,2,Communication issues affected delivery.,2023-11-12
f4,p1,r29,c2,4,Very professional and skilled resource.,2023-11-11
f5,p2,r1,c9,3,Delivered on time with acceptable quality.,2023-03-25
f6,p2,r6,c9,4,Great work on this project!,2023-03-27
f7,p2,r21,c9,4,Excellent contribution to the team.,2023-03-24
f8,p2,r27,c9,2,Missed several deadlines.,2023-03-23
f9,p2,r8,c9,4,Great work on this project!,2023-03-23
f10,p3,r5,c3,5,Very professional and skilled resource.,2022-10-20
f11,p3,r11,c3,4,Great work on this project!,2022-10-18
f12,p4,r2,c9,2,Communication issues affected delivery.,2023-01-07
f13,p5,r27,c1,3,Delivered on time with acceptable quality.,2023-02-14
f14,p5,r4,c1,5,Great work on this project!,2023-02-13
f15,p5,r17,c1,5,Delivered high-quality work consistently.,2023-02-16
f16,p5,r10,c1,4,"A pleasure to work with, highly recommended.",2023-02-12
f17,p5,r21,c1,5,"A pleasure to work with, highly recommended.",2023-02-11
f18,p5,r23,c1,4,Excellent contribution to the team.,2023-02-16
f19,p5,r15,c1,5,Very professional and skilled resource.,2023-02-10
f20,p5,r13,c1,5,Excellent contribution to the team.,2023-02-16
f21,p6,r18,c3,5,"A pleasure to work with, highly recommended.",2022-10-10
f22,p6,r12,c3,5,Great work on this project!,2022-10-10
f23,p6,r1,c3,3,Solid performance overall.,2022-10-11
f24,p7,r21,c4,4,Very professional and skilled resource.,2023-02-02
f25,p7,r2,c4,3,Delivered on time with acceptable quality.,2023-02-07
f26,p7,r30,c4,3,Completed the work as expected.,2023-02-02
f27,p8,r11,c1,2,Missed several deadlines.,2023-06-17
f28,p8,r15,c1,2,Communication issues affected delivery.,2023-06-16
f29,p8,r8,c1,4,"A pleasure to work with, highly recommended.",2023-06-14
f30,p9,r18,c8,5,Great work on this project!,2022-03-27
f31,p9,r8,c8,4,Delivered high-quality work consistently.,2022-03-25
f32,p9,r14,c8,4,Very professional and skilled resource.,2022-03-23
f33,p9,r26,c8,3,Solid performance overall.,2022-03-25
f34,p9,r10,c8,5,"A pleasure to work with, highly recommended.",2022-03-25
f35,p9,r7,c8,4,Great work on this project!,2022-03-23
f36,p10,r17,c10,4,Great work on this project!,2023-12-26
f37,p10,r14,c10,2,Work required significant revisions.,2024-01-01
f38,p10,r15,c10,3,Completed the work as expected.,2023-12-26
f39,p10,r19,c10,3,Met the requirements adequately.,2023-12-27
f40,p10,r6,c10,4,Excellent contribution to the team.,2023-12-30
f41,p10,r23,c10,4,Very professional and skilled resource.,2023-12-26
f42,p11,r7,c3,5,Great work on this project!,2023-02-14
f43,p11,r21,c3,3,Solid performance overall.,2023-02-15
f44,p11,r30,c3,4,Delivered high-quality work consistently.,2023-02-13
f45,p11,r25,c3,3,Solid performance overall.,2023-02-12
f46,p11,r12,c3,5,Very professional and skilled resource.,2023-02-11
f47,p11,r18,c3,3,Met the requirements adequately.,2023-02-14
f48,p11,r26,c3,5,Great work on this project!,2023-02-14
f49,p12,r9,c1,2,Communication issues affected delivery.,2023-06-07
f50,p12,r10,c1,4,Great work on this project!,2023-06-05
f51,p12,r23,c1,3,Solid performance overall.,2023-06-06
f52,p12,r4,c1,2,Work required significant revisions.,2023-06-01
f53,p12,r26,c1,2,Work required significant revisions.,2023-06-05
f54,p12,r11,c1,4,Great work on this project!,2023-06-02
f55,p12,r2,c1,3,Delivered on time with acceptable quality.,2023-06-07
f56,p13,r18,c5,5,"A pleasure to work with, highly recommended.",2022-07-18
f57,p13,r20,c5,5,Very professional and skilled resource.,2022-07-19
f58,p13,r10,c5,4,Great work on this project!,2022-07-16
f59,p13,r22,c5,4,Very professional and skilled resource.,2022-07-17
f60,p13,r11,c5,5,Great work on this project!,2022-07-15
f61,p13,r7,c5,3,Completed the work as expected.,2022-07-15
f62,p14,r25,c3,3,Delivered on time with acceptable quality.,2022-09-16
f63,p14,r29,c3,4,"A pleasure to work with, highly recommended.",2022-09-16
f64,p14,r4,c3,3,Worked well with the team.,2022-09-18
f65,p14,r5,c3,3,Solid performance overall.,2022-09-16
f66,p14,r16,c3,3,Completed the work as expected.,2022-09-15
f67,p14,r19,c3,4,Great work on this project!,2022-09-16
f68,p15,r9,c4,3,Met the requirements adequately.,2023-07-11
f69,p15,r18,c4,4,"A pleasure to work with, highly recommended.",2023-07-10
f70,p16,r24,c3,4,Very professional and skilled resource.,2022-11-25
f71,p16,r26,c3,4,"A pleasure to work with, highly recommended.",2022-11-23
f72,p16,r11,c3,5,Very professional and skilled resource.,2022-11-23
f73,p16,r4,c3,5,Delivered high-quality work consistently.,2022-11-25
f74,p16,r12,c3,5,"A pleasure to work with, highly recommended.",2022-11-29
f75,p16,r30,c3,3,Delivered on time with acceptable quality.,2022-11-28
f76,p16,r2,c3,4,Very professional and skilled resource.,2022-11-28
f77,p16,r21,c3,4,Excellent contribution to the team.,2022-11-27
f78,p16,r22,c3,3,Solid performance overall.,2022-11-27
f79,p17,r6,c4,3,Met the requirements adequately.,2023-07-24
f80,p17,r8,c4,4,"A pleasure to work with, highly recommended.",2023-07-19
f81,p17,r2,c4,3,Delivered on time with acceptable quality.,2023-07-21
f82,p17,r24,c4,3,Met the requirements adequately.,2023-07-20
f83,p17,r9,c4,3,Met the requirements adequately.,2023-07-20
f84,p18,r21,c9,4,Great work on this project!,2023-05-19
f85,p18,r7,c9,5,"A pleasure to work with, highly recommended.",2023-05-15
f86,p18,r15,c9,5,Excellent contribution to the team.,2023-05-19
f87,p19,r6,c9,2,Work required significant revisions.,2023-10-07
f88,p19,r20,c9,4,Excellent contribution to the team.,2023-10-06
f89,p19,r27,c9,3,Solid performance overall.,2023-10-06
f90,p19,r30,c9,3,Delivered on time with acceptable quality.,2023-10-03
f91,p20,r13,c7,3,Met the requirements adequately.,2022-12-26
f92,p20,r20,c7,3,Met the requirements adequately.,2022-12-24
f93,p20,r18,c7,4,Delivered high-quality work consistently.,2022-12-25
f94,p21,r23,c2,4,"A pleasure to work with, highly recommended.",2022-05-01
f95,p21,r2,c2,3,Met the requirements adequately.,2022-05-03
f96,p22,r19,c8,4,Great work on this project!,2023-04-14
f97,p22,r4,c8,4,"A pleasure to work with, highly recommended.",2023-04-09
f98,p22,r8,c8,5,Great work on this project!,2023-04-11
f99,p22,r17,c8,3,Solid performance overall.,2023-04-12
f100,p23,r24,c2,4,Great work on this project!,2022-05-23
f101,p24,r10,c5,4,"A pleasure to work with, highly recommended.",2022-08-21
f102,p24,r25,c5,3,Solid performance overall.,2022-08-20
f103,p24,r2,c5,3,Solid performance overall.,2022-08-25
f104,p24,r28,c5,3,Solid performance overall.,2022-08-25
f105,p24,r29,c5,3,Worked well with the team.,2022-08-22
f106,p25,r13,c4,3,Completed the work as expected.,2022-12-23
f107,p25,r23,c4,3,Delivered on time with acceptable quality.,2022-12-26
f108,p26,r11,c1,3,Completed the work as expected.,2023-11-08
f109,p26,r30,c1,3,Completed the work as expected.,2023-11-02
f110,p26,r29,c1,4,"A pleasure to work with, highly recommended.",2023-11-05
f111,p26,r23,c1,3,Delivered on time with acceptable quality.,2023-11-06
f112,p26,r25,c1,4,"A pleasure to work with, highly recommended.",2023-11-03
f113,p26,r7,c1,3,Worked well with the team.,2023-11-02
f114,p26,r19,c1,2,Quality of work was below expectations.,2023-11-05
f115,p27,r4,c10,4,Great work on this project!,2022-04-28
f116,p27,r20,c10,4,"A pleasure to work with, highly recommended.",2022-04-28
f117,p27,r24,c10,4,"A pleasure to work with, highly recommended.",2022-04-24
f118,p27,r19,c10,3,Completed the work as expected.,2022-04-29
f119,p27,r30,c10,3,Solid performance overall.,2022-04-29
f120,p27,r10,c10,2,Communication issues affected delivery.,2022-04-25
f121,p27,r18,c10,4,Great work on this project!,2022-04-30
f122,p28,r5,c6,3,Met the requirements adequately.,2022-05-08
f123,p28,r20,c6,3,Met the requirements adequately.,2022-05-14
f124,p28,r23,c6,3,Worked well with the team.,2022-05-13
f125,p28,r26,c6,2,Struggled to meet expectations.,2022-05-13
f126,p29,r9,c10,3,Completed the work as expected.,2022-11-28
f127,p29,r13,c10,2,Struggled to meet expectations.,2022-11-28
f128,p29,r8,c10,4,Delivered high-quality work consistently.,2022-11-28
f129,p29,r1,c10,4,Excellent contribution to the team.,2022-11-28
f130,p29,r4,c10,2,Communication issues affected delivery.,2022-11-28
f131,p29,r10,c10,3,Worked well with the team.,2022-11-29
f132,p29,r26,c10,3,Solid performance overall.,2022-11-27
f133,p30,r14,c5,4,Very professional and skilled resource.,2022-05-06
f134,p30,r16,c5,3,Worked well with the team.,2022-04-30
f135,p30,r1,c5,3,Delivered on time with acceptable quality.,2022-05-02
f136,p31,r13,c5,3,Solid performance overall.,2023-06-15
f137,p31,r4,c5,4,"A pleasure to work with, highly recommended.",2023-06-15
f138,p31,r8,c5,5,Delivered high-quality work consistently.,2023-06-12
f139,p31,r22,c5,5,Very professional and skilled resource.,2023-06-14
f140,p31,r20,c5,3,Completed the work as expected.,2023-06-15
f141,p31,r16,c5,4,"A pleasure to work with, highly recommended.",2023-06-16
f142,p31,r7,c5,3,Completed the work as expected.,2023-06-11
f143,p32,r16,c6,3,Completed the work as expected.,2022-05-13
f144,p32,r9,c6,4,Very professional and skilled resource.,2022-05-14
f145,p32,r10,c6,4,Great work on this project!,2022-05-16
f146,p33,r27,c1,4,Very professional and skilled resource.,2023-11-24
f147,p33,r28,c1,3,Delivered on time with acceptable quality.,2023-11-23
f148,p34,r23,c2,4,Very professional and skilled resource.,2023-01-06
f149,p34,r29,c2,3,Completed the work as expected.,2023-01-06
f150,p35,r7,c1,5,Delivered high-quality work consistently.,2023-07-29
f151,p35,r29,c1,4,Delivered high-quality work consistently.,2023-07-26
f152,p35,r9,c1,4,Excellent contribution to the team.,2023-07-25
f153,p35,r1,c1,3,Worked well with the team.,2023-07-26
f154,p36,r20,c4,3,Solid performance overall.,2022-09-17
f155,p36,r9,c4,3,Delivered on time with acceptable quality.,2022-09-16
f156,p37,r22,c4,3,Met the requirements adequately.,2022-09-04
f157,p37,r10,c4,4,Excellent contribution to the team.,2022-09-05
f158,p37,r7,c4,2,Struggled to meet expectations.,2022-08-31
f159,p37,r21,c4,2,Missed several deadlines.,2022-08-30
f160,p38,r17,c4,5,Very professional and skilled resource.,2022-07-07
f161,p38,r15,c4,5,Great work on this project!,2022-07-04
f162,p39,r23,c9,5,Delivered high-quality work consistently.,2022-03-02
f163,p39,r27,c9,4,"A pleasure to work with, highly recommended.",2022-02-26
f164,p39,r14,c9,4,Great work on this project!,2022-03-01
f165,p39,r12,c9,5,Very professional and skilled resource.,2022-02-27
f166,p40,r29,c6,5,"A pleasure to work with, highly recommended.",2022-02-21
f167,p40,r28,c6,3,Worked well with the team.,2022-02-24
f168,p40,r9,c6,3,Delivered on time with acceptable quality.,2022-02-21
f169,p40,r19,c6,3,Solid performance overall.,2022-02-25
f170,p41,r7,c9,5,Very professional and skilled resource.,2023-06-22
f171,p41,r27,c9,3,Delivered on time with acceptable quality.,2023-06-18
f172,p41,r3,c9,4,"A pleasure to work with, highly recommended.",2023-06-20
f173,p41,r30,c9,5,Excellent contribution to the team.,2023-06-20
f174,p41,r2,c9,5,"A pleasure to work with, highly recommended.",2023-06-21
f175,p41,r16,c9,5,Great work on this project!,2023-06-22
f176,p42,r16,c5,5,"A pleasure to work with, highly recommended.",2023-12-23
f177,p42,r28,c5,5,Delivered high-quality work consistently.,2023-12-25
f178,p42,r10,c5,4,"A pleasure to work with, highly recommended.",2023-12-23
f179,p42,r12,c5,4,Delivered high-quality work consistently.,2023-12-22
f180,p42,r2,c5,4,Delivered high-quality work consistently.,2023-12-21
f181,p43,r30,c3,3,Worked well with the team.,2023-01-15
f182,p43,r9,c3,3,Solid performance overall.,2023-01-16
f183,p43,r13,c3,5,Very professional and skilled resource.,2023-01-17
f184,p43,r16,c3,4,Excellent contribution to the team.,2023-01-18
f185,p43,r29,c3,5,Great work on this project!,2023-01-14
f186,p43,r19,c3,3,Solid performance overall.,2023-01-15
f187,p43,r14,c3,3,Completed the work as expected.,2023-01-14
f188,p44,r20,c6,3,Solid performance overall.,2023-09-25
f189,p44,r9,c6,3,Met the requirements adequately.,2023-09-24
f190,p44,r21,c6,4,Delivered high-quality work consistently.,2023-09-21
f191,p44,r25,c6,4,"A pleasure to work with, highly recommended.",2023-09-24
f192,p45,r4,c5,4,Great work on this project!,2023-06-01
f193,p45,r22,c5,5,Delivered high-quality work consistently.,2023-06-03
f194,p45,r25,c5,3,Worked well with the team.,2023-06-02
f195,p45,r30,c5,4,Very professional and skilled resource.,2023-06-01
f196,p45,r5,c5,5,"A pleasure to work with, highly recommended.",2023-06-02
f197,p45,r12,c5,4,Great work on this project!,2023-06-04
f198,p47,r17,c7,5,Very professional and skilled resource.,2022-04-03
f199,p47,r29,c7,3,Met the requirements adequately.,2022-03-28
f200,p47,r7,c7,4,"A pleasure to work with, highly recommended.",2022-03-30
f201,p47,r13,c7,3,Delivered on time with acceptable quality.,2022-04-01
f202,p47,r26,c7,3,Completed the work as expected.,2022-03-28
f203,p47,r16,c7,4,Delivered high-quality work consistently.,2022-04-01
f204,p48,r28,c4,4,"A pleasure to work with, highly recommended.",2023-03-26
f205,p48,r3,c4,4,Very professional and skilled resource.,2023-03-26
f206,p48,r20,c4,4,Very professional and skilled resource.,2023-03-29
f207,p49,r3,c9,4,"A pleasure to work with, highly recommended.",2023-08-24
f208,p49,r11,c9,3,Worked well with the team.,2023-08-27
f209,p49,r15,c9,3,Completed the work as expected.,2023-08-24
f210,p49,r19,c9,4,Great work on this project!,2023-08-25
f211,p49,r16,c9,4,"A pleasure to work with, highly recommended.",2023-08-25
f212,p49,r18,c9,2,Quality of work was below expectations.,2023-08-24
f213,p49,r20,c9,4,"A pleasure to work with, highly recommended.",2023-08-27
f214,p50,r9,c8,5,Excellent contribution to the team.,2023-01-24
f215,p50,r14,c8,5,Great work on this project!,2023-01-25
f216,p50,r10,c8,4,Delivered high-quality work consistently.,2023-01-25
f217,p50,r20,c8,3,Worked well with the team.,2023-01-28
f218,p50,r22,c8,4,Great work on this project!,2023-01-29
f219,p50,r25,c8,3,Delivered on time with acceptable quality.,2023-01-26
